lat;lon;x;y;z;val;dqc;
 59.9706;10.6462;-242418;-328797;295;18.6;0;
 59.6129;17.8168;158653;-373367;41;23;0;
 59.8674;10.8087;-234132;-340866;149;21.2;0;
 58.9821;5.61426;-537155;-407854;18;15.8;0;
 57.4711;14.3497;-39054;-615504;217;20.7;5;
 56.1747;14.8551;-9029;-760637;12;14.4;0;
 57.1074;12.2788;-165095;-652839;NA;21.3;1;
 64.3986;27.7341;608044;215935;115.487;22.7;5;
 66.3273;14.1832;-36530;370425;20;27.4;4;
 55.9434;12.8079;-137446;-784200;NA;16.6;1;
 64.4728;11.4655;-169339;168441;46;26.1;0;
 70.7197;23.7943;325154;883477;18;11.3;0;
 61.0978;10.4788;-242911;-203010;249.63;22.1;0;
 58.8088;5.55387;-543414;-426458;5;13.8;0;
 60.1192;10.2119;-265326;-310580;69;20.4;0;
 56.2096;9.03116;-371024;-739509;NA;17.1;1;
 59.3446;18.1132;176781;-402450;29;29.4;4;
 55.076;14.7366;-16917;-883730;18;18;0;
 58.8313;5.70909;-534186;-425277;NA;14.2;1;
 55.7124;9.11654;-370819;-795442;62;20.6;0;
 68.7392;16.4244;57740;639939;167;16.8;0;
 59.7264;10.1452;-272314;-353916;249;17.2;0;
 58.4003;8.68501;-368477;-493886;NA;15.3;1;
 63.8155;19.7662;233669;99346;118;16;0;
 62.984;17.6881;135734;1058;26;22.6;5;
 59.949;10.4789;-251887;-330554;231;21.5;0;
 60.7347;8.70062;-342136;-235183;1028;16.2;0;
 58.3515;15.2395;14017;-517411;105;22.5;0;
 58.8618;9.40307;-322218;-446503;NA;17.7;1;
 60.0198;10.9018;-227857;-324266;190.198;21.2;0;
 63.9669;12.1082;-141099;110693;425;21.5;5;
 62.1285;28.3341;688263;-25295;81;17.7;5;
 58.5034;8.6474;-369530;-482227;109;15.1;0;
 59.4486;10.3292;-264258;-385542;NA;18.2;1;
 56.8051;10.27;-289279;-679480;1;19.6;0;
 59.2735;10.7952;-239207;-406828;55;18.9;0;
 68.7596;16.395;56499;642193;133;12.5;0;
 56.3658;8.66493;-391998;-719935;NA;17.9;1;
 59.2969;17.9617;168429;-408165;NA;22.5;1;
 55.3433;11.675;-211903;-848306;11;20.6;0;
 55.9467;11.8609;-196766;-781370;6;18.2;0;
 56.6796;16.2277;75415;-703437;15;17.6;0;
 63.9084;20.5464;270941;112706;NA;18.3;1;
 60.3403;5.3735;-528270;-256234;NA;18.3;1;
 56.2544;10.3047;-291655;-741074;30;22.2;0;
 57.6593;12.0218;-177822;-590566;33;23.5;4;
 55.7483;12.4695;-159514;-805257;38;17.5;0;
 58.0983;6.76898;-484037;-514664;16;17.6;0;
 59.3109;18.1029;176378;-406228;NA;20.1;1;
 55.5295;12.2202;-176279;-829102;5;24.9;4;
 55.6349;13.2013;-113754;-819510;0;17.7;0;
 58.1451;8.01608;-410448;-518152;12;20;0;
 59.0008;5.60975;-537108;-405755;22;15.3;0;
 59.6424;9.67248;-299546;-361141;232;15.3;0;
 62.1933;17.5064;129990;-87170;8;22.3;0;
 58.6636;7.07203;-458554;-454328;626;14.4;0;
 59.9273;10.6437;-242884;-333598;76;21.7;0;
 59.8805;13.5576;-80592;-346136;107;23.8;0;
 55.4961;9.25422;-364327;-820369;NA;23.8;1;
 59.8894;10.5167;-250247;-337322;20;20.7;0;
 59.5534;11.9768;-170581;-379459;NA;23.1;1;
 62.5856;6.12618;-452881;-14782;8;17.7;4;
 55.812;12.5404;-154774;-798300;27.5484;17.5;0;
 59.8563;10.656;-242732;-341533;78;21.3;0;
 59.7393;10.1868;-269878;-352659;17;18.9;0;
 70.0861;29.7184;557268;854155;38;10.4;0;
 62.7275;7.42463;-385093;-7592;20;24.7;0;
 61.9817;25.1122;526111;-71784;113;17.6;5;
 63.485;10.94;-201416;60291;75;29.2;0;
 59.0069;9.7006;-303797;-431836;23;17.4;0;
 60.9605;24.542;513463;-188663;86;17.7;0;
 58.2827;7.98877;-410377;-502717;134;16.7;0;
 56.9357;9.75763;-319360;-662498;64;28.7;4;
 59.9289;18.8635;215432;-335177;18;18.6;0;
 59.9334;10.761;-236308;-333358;NA;22.7;1;
 61.6938;11.2121;-199659;-139373;305.1;22.3;0;
 60.2457;25.0355;552173;-263205;31;13.7;3;
